0,1,2,3,4,5,6,7,8
CN010010,01,001,"Autauga County, AL",2009,23288,21025,2263,9.7
PA011000,01,003,"Baldwin County, AL",2009,81706,74238,7468,9.1
CN010050,01,005,"Barbour County, AL",2009,9703,8401,1302,13.4
CN010070,01,007,"Bibb County, AL",2009,8475,7453,1022,12.1
CN010090,01,009,"Blount County, AL",2009,25306,22789,2517,9.9
CN010110,01,011,"Bullock County, AL",2009,3527,2948,579,16.4
CN010130,01,013,"Butler County, AL",2009,8884,7403,1481,16.7
PA010250,01,015,"Calhoun County, AL",2009,52055,46422,5633,10.8
CN010170,01,017,"Chambers County, AL",2009,13726,11171,2555,18.6
CN010190,01,019,"Cherokee County, AL",2009,11583,10220,1363,11.8
CN010210,01,021,"Chilton County, AL",2009,18697,16854,1843,9.9
CN010230,01,023,"Choctaw County, AL",2009,4925,4299,626,12.7
CN010250,01,025,"Clarke County, AL",2009,10300,8552,1748,17
CN010270,01,027,"Clay County, AL",2009,5474,4603,871,15.9
CN010290,01,029,"Cleburne County, AL",2009,6284,5633,651,10.4
CN010310,01,031,"Coffee County, AL",2009,19913,18228,1685,8.5
PA010900,01,033,"Colbert County, AL",2009,24202,21436,2766,11.4
CN010350,01,035,"Conecuh County, AL",2009,4835,3892,943,19.5
CN010370,01,037,"Coosa County, AL",2009,4510,3879,631,14
CN010390,01,039,"Covington County, AL",2009,16310,14663,1647,10.1
CN010410,01,041,"Crenshaw County, AL",2009,6280,5670,610,9.7
PA010400,01,043,"Cullman County, AL",2009,37658,34028,3630,9.6
PA010450,01,045,"Dale County, AL",2009,19281,17486,1795,9.3
PA010500,01,047,"Dallas County, AL",2009,15477,12209,3268,21.1
PA010270,01,049,"DeKalb County, AL",2009,29727,25489,4238,14.3
CN010510,01,051,"Elmore County, AL",2009,33928,30873,3055,9
CN010530,01,053,"Escambia County, AL",2009,14439,12580,1859,12.9
PS010010,01,055,"Etowah County, AL",2009,44279,39524,4755,10.7
CN010570,01,057,"Fayette County, AL",2009,6744,5880,864,12.8
CN010590,01,059,"Franklin County, AL",2009,12754,11191,1563,12.3
CN010610,01,061,"Geneva County, AL",2009,10930,9835,1095,10
CN010630,01,063,"Greene County, AL",2009,3250,2773,477,14.7
CN010650,01,065,"Hale County, AL",2009,6821,5953,868,12.7
CN010670,01,067,"Henry County, AL",2009,6993,6301,692,9.9
PA010550,01,069,"Houston County, AL",2009,44214,40278,3936,8.9
PA010570,01,071,"Jackson County, AL",2009,25222,22243,2979,11.8
PS010050,01,073,"Jefferson County, AL",2009,299680,267493,32187,10.7
CN010750,01,075,"Lamar County, AL",2009,5478,4666,812,14.8
PA010600,01,077,"Lauderdale County, AL",2009,40952,36638,4314,10.5
CN010790,01,079,"Lawrence County, AL",2009,15496,13396,2100,13.6
PA010650,01,081,"Lee County, AL",2009,61392,56083,5309,8.6
CN010830,01,083,"Limestone County, AL",2009,35769,32443,3326,9.3
CN010850,01,085,"Lowndes County, AL",2009,4814,3923,891,18.5
CN010870,01,087,"Macon County, AL",2009,8883,7871,1012,11.4
CN010890,01,089,"Madison County, AL",2009,160077,147994,12083,7.5
CN010910,01,091,"Marengo County, AL",2009,7805,6648,1157,14.8
CN010930,01,093,"Marion County, AL",2009,12146,10296,1850,15.2
PA010700,01,095,"Marshall County, AL",2009,40020,36346,3674,9.2
CN010970,01,097,"Mobile County, AL",2009,181879,161763,20116,11.1
CN010990,01,099,"Monroe County, AL",2009,8419,6842,1577,18.7
CN011010,01,101,"Montgomery County, AL",2009,101133,90778,10355,10.2
PA010750,01,103,"Morgan County, AL",2009,53923,48297,5626,10.4
CN011050,01,105,"Perry County, AL",2009,3616,2900,716,19.8
CN011070,01,107,"Pickens County, AL",2009,7723,6718,1005,13
CN011090,01,109,"Pike County, AL",2009,15346,14010,1336,8.7
CN011110,01,111,"Randolph County, AL",2009,8827,7497,1330,15.1
CN011130,01,113,"Russell County, AL",2009,20860,18240,2620,12.6
CN011150,01,115,"St. Clair County, AL",2009,34452,30774,3678,10.7
PA011100,01,117,"Shelby County, AL",2009,92888,85783,7105,7.6
CN011190,01,119,"Sumter County, AL",2009,4562,3926,636,13.9
PA010800,01,121,"Talladega County, AL",2009,37033,31986,5047,13.6
CN011230,01,123,"Tallapoosa County, AL",2009,17664,15238,2426,13.7
PS010220,01,125,"Tuscaloosa County, AL",2009,85253,77612,7641,9
PA010850,01,127,"Walker County, AL",2009,27883,24575,3308,11.9
CN011290,01,129,"Washington County, AL",2009,6626,5625,1001,15.1
CN011310,01,131,"Wilcox County, AL",2009,3547,2638,909,25.6
CN011330,01,133,"Winston County, AL",2009,9094,7506,1588,17.5
CN020130,02,013,"Aleutians East Borough, AK",2009,1148,1032,116,10.1
CN020100,02,016,"Aleutians West Census Area, AK",2009,2903,2658,245,8.4
CN020200,02,020,"Anchorage Borough/municipality, AK",2009,153264,142563,10701,7
CN020500,02,050,"Bethel Census Area, AK",2009,7061,6014,1047,14.8
CN020600,02,060,"Bristol Bay Borough, AK",2009,1159,1117,42,3.6
CN020680,02,068,"Denali Borough, AK",2009,2300,2221,79,3.4
CN020700,02,070,"Dillingham Census Area, AK",2009,2634,2413,221,8.4
CN020900,02,090,"Fairbanks North Star Borough, AK",2009,45632,42496,3136,6.9
CN021000,02,100,"Haines Borough, AK",2009,1588,1490,98,6.2
CN021100,02,110,"Juneau Borough/city, AK",2009,18615,17545,1070,5.7
CN021220,02,122,"Kenai Peninsula Borough, AK",2009,26463,23905,2558,9.7
CN021300,02,130,"Ketchikan Gateway Borough, AK",2009,8781,8249,532,6.1
CN021500,02,150,"Kodiak Island Borough, AK",2009,6423,6000,423,6.6
CN021640,02,164,"Lake and Peninsula Borough, AK",2009,1372,1291,81,5.9
CN021700,02,170,"Matanuska-Susitna Borough, AK",2009,40287,36735,3552,8.8
CN021800,02,180,"Nome Census Area, AK",2009,3877,3406,471,12.1
CN021850,02,185,"North Slope Borough, AK",2009,5119,4826,293,5.7
CN021880,02,188,"Northwest Arctic Borough, AK",2009,2805,2434,371,13.2
CN022010,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2009,2507,2165,342,13.6
CN022200,02,220,"Sitka Borough/city, AK",2009,4707,4430,277,5.9
CN022310,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2009,2278,2111,167,7.3
CN022400,02,240,"Southeast Fairbanks Census Area, AK",2009,3673,3374,299,8.1
CN022610,02,261,"Valdez-Cordova Census Area, AK",2009,5789,5416,373,6.4
CN022700,02,270,"Wade Hampton Census Area, AK",2009,2807,2235,572,20.4
CN022800,02,280,"Wrangell-Petersburg Census Area, AK",2009,2836,2558,278,9.8
CN022820,02,282,"Yakutat Borough, AK",2009,350,328,22,6.3
CN022900,02,290,"Yukon-Koyukuk Census Area, AK",2009,2790,2411,379,13.6
PA040800,04,001,"Apache County, AZ",2009,22797,19434,3363,14.8
PA040400,04,003,"Cochise County, AZ",2009,62754,58122,4632,7.4
PA040600,04,005,"Coconino County, AZ",2009,74896,69099,5797,7.7
CN040070,04,007,"Gila County, AZ",2009,22859,20378,2481,10.9
CN040090,04,009,"Graham County, AZ",2009,14430,12357,2073,14.4
CN040110,04,011,"Greenlee County, AZ",2009,4450,3494,956,21.5
CN040120,04,012,"La Paz County, AZ",2009,7812,7120,692,8.9
CN040130,04,013,"Maricopa County, AZ",2009,2001233,1832115,169118,8.5
PA040900,04,015,"Mohave County, AZ",2009,92909,83396,9513,10.2
PA040550,04,017,"Navajo County, AZ",2009,40715,34941,5774,14.2
CN040190,04,019,"Pima County, AZ",2009,489560,448666,40894,8.4
PA040450,04,021,"Pinal County, AZ",2009,117530,103715,13815,11.8
CN040230,04,023,"Santa Cruz County, AZ",2009,18760,15529,3231,17.2
PA040700,04,025,"Yavapai County, AZ",2009,99997,90536,9461,9.5
PA040500,04,027,"Yuma County, AZ",2009,89436,67791,21645,24.2
CN050010,05,001,"Arkansas County, AR",2009,12228,10476,1752,14.3
CN050030,05,003,"Ashley County, AR",2009,9221,8381,840,9.1
CN050050,05,005,"Baxter County, AR",2009,17471,16047,1424,8.2
PA050250,05,007,"Benton County, AR",2009,105604,100010,5594,5.3
CN050090,05,009,"Boone County, AR",2009,16932,15856,1076,6.4
CN050110,05,011,"Bradley County, AR",2009,4974,4584,390,7.8
CN050130,05,013,"Calhoun County, AR",2009,2520,2365,155,6.2
CN050150,05,015,"Carroll County, AR",2009,14278,13660,618,4.3
CN050170,05,017,"Chicot County, AR",2009,4642,4195,447,9.6
CN050190,05,019,"Clark County, AR",2009,11000,10303,697,6.3
CN050210,05,021,"Clay County, AR",2009,6369,5705,664,10.4
CN050230,05,023,"Cleburne County, AR",2009,11863,11158,705,5.9
CN050250,05,025,"Cleveland County, AR",2009,4079,3833,246,6
CN050270,05,027,"Columbia County, AR",2009,10694,9827,867,8.1
CN050290,05,029,"Conway County, AR",2009,10357,9687,670,6.5
PA050300,05,031,"Craighead County, AR",2009,46944,44182,2762,5.9
CN050330,05,033,"Crawford County, AR",2009,28913,26999,1914,6.6
PA050700,05,035,"Crittenden County, AR",2009,22459,20239,2220,9.9
CN050370,05,037,"Cross County, AR",2009,8307,7718,589,7.1
CN050390,05,039,"Dallas County, AR",2009,3867,3574,293,7.6
CN050410,05,041,"Desha County, AR",2009,5620,5065,555,9.9
CN050430,05,043,"Drew County, AR",2009,8176,7432,744,9.1
CN050450,05,045,"Faulkner County, AR",2009,55883,52515,3368,6
CN050470,05,047,"Franklin County, AR",2009,8677,8163,514,5.9
CN050490,05,049,"Fulton County, AR",2009,5301,4975,326,6.1
PA050400,05,051,"Garland County, AR",2009,43280,40445,2835,6.6
CN050530,05,053,"Grant County, AR",2009,8608,8119,489,5.7
CN050550,05,055,"Greene County, AR",2009,19581,17966,1615,8.2
CN050570,05,057,"Hempstead County, AR",2009,10481,9578,903,8.6
CN050590,05,059,"Hot Spring County, AR",2009,15025,13932,1093,7.3
CN050610,05,061,"Howard County, AR",2009,6323,5870,453,7.2
CN050630,05,063,"Independence County, AR",2009,16501,15209,1292,7.8
CN050650,05,065,"Izard County, AR",2009,5528,5100,428,7.7
CN050670,05,067,"Jackson County, AR",2009,7785,7072,713,9.2
CN050690,05,069,"Jefferson County, AR",2009,35266,32004,3262,9.2
